Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
,5866,27/02/2017,Eco Energy World,Newport (Began Road),Solar Photovoltaics,4.9,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Fairwater Farm, Michaelston-y-Fedw",Newport,Wales,Wales,CF3 6XS,"323,807","184,116",Newport City Council,14/0337,,,,,,03/04/2014,,,,,,,22/10/2015,,,,22/10/2020,14/12/2015,14/02/2016
,5871,21/03/2017,Big 60 Million,Nanhoron Estate,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Nanhoron Estate, Botwnnog, Pwllheli, Gwynedd, Wales",Gwynedd,Wales,Wales,LL53 8DP,"226,439","330,997",Gwynedd Council,C15/0793/32/LL,,,,,,23/11/2015,,,,,,,30/11/2016,,,,30/11/2021,,
,5897,18/07/2017,Solar Park Developments,Morfa Ynys Farmlands,Solar Photovoltaics,3,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land At Morfa Ynys Farmlands, Morfa, Llanelli, Dyfed, Wales",Carmarthenshire,Wales,Wales,SA15 2,"252,332","198,930",Carmarthenshire County Council,S/32892,,,,,,30/10/2015,,,,,,,03/05/2016,,,,03/05/2021,,
,5900,17/05/2017,Earthworm,Celyn Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Celyn Farm Stryt-Cae-Rhedyn, Leeswood, Mold, Clwyd, Wales",Flintshire,Wales,Wales,CH7 4AG,"325,713","360,456",Flintshire County Council,54041,,,,,,29/10/2015,,,,,,,02/08/2016,,,,,,
,5917,14/06/2016,Short Bros Homes,Dura Park Bynea Industrial Site,Solar Photovoltaics,1.4,n/a,,,,n/a,n/a,n/a,Roof,Operational,Operational,"Former Bowdens Site, Yspitty Road, Dura Industrial Park, Llanelli, Dyfed, Wales",Carmarthenshire,Wales,Wales,SA14 9TD,"255,583","198,601",Carmarthenshire County Council,S/32873,,,,,,22/10/2015,,,,,,,15/12/2015,,,,15/12/2018,01/09/2015,21/12/2015
,5923,17/05/2017,Earthworm,Land at Borras Hall,Solar Photovoltaics,10,n/a,,,,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land T The West And North Of, Borras Hall Lane, Llan-y-Pwll, Wrexham, Clwyd, Wales",Wrexham,Wales,Wales,LL13 9,"336,822","353,033",Wrexham County Borough Council,P/2015/0777,,,,,,28/10/2015,,,,,,,11/03/2016,,,,11/03/2021,,
,5941,01/12/2015,Suncredit UK,Carn Nicholas Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Planning Application Withdrawn,Application Withdrawn,"Land At Carn Nicholas Farm, Bonymaen, Swansea",Swansea,Wales,Wales,SA1 7BL,"267,843","194,294",City and County Council of Swansea,2015/1646,,,,,,07/08/2015,11/08/2015,,,,,,,,,,,,
,5943,01/12/2015,Dow Corning,Barry Docks,Biomass (dedicated),9,n/a,,,,n/a,n/a,n/a,n/a,Planning Application Withdrawn,Application Withdrawn,"Land off Woodham Road, Barry",South Glamorgan,Wales,Wales,,"312,625","167,514",Vale of Glamorgan Council,2010/00240/FUL,,,,,,10/03/2010,20/04/2010,,,,,,,,,,,,
,6013,16/06/2017,Cenin Renewables,"Parc Stormy, Stormy Down",Wind Onshore,2.5,n/a,,,,2.5,1,125,n/a,Planning Permission Granted,Awaiting Construction,"Land At Parc Stormy, Stormy Down, Pyle, Bridgend",Mid Glamorgan,Wales,Wales,CF33 4RS,"284,119","180,079",Bridgend County Borough Council,P/15/868/FUL,,,,,,04/01/2016,,,,,,,18/08/2016,,,,18/08/2021,,
,6015,25/07/2016,Haymaker Energy,Kinmel 2 CIC,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Land immediately north of A547, Rhuddlan Road, Towyn, Conwy",Gwynedd,Wales,Wales,,"298,420","377,733",Conwy County Borough Council,0/40999,,,,,,27/08/2014,,,,,,,11/03/2015,,,,11/03/2020,21/03/2016,27/06/2016
