competence,category,IPCC,BaseYear,1990,1995,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WG,Business,2F6b_Other_Applications:Contained-Refrigerant_containers,1.15,0.00,1.15,3.25,4.10,5.05,5.44,5.36,5.47,5.38,4.57,3.75,3.17,2.08,1.96,2.09,1.69,1.66,1.61,1.66,1.76
WG,Business,2G1_Electrical_equipment,49.20,36.23,49.20,47.26,43.90,40.55,36.95,32.39,30.18,27.74,24.38,19.94,22.05,17.78,17.56,21.72,19.88,18.92,15.96,14.91,15.49
WG,Business,2G2_Military_applications,5.88,5.90,5.88,5.86,5.84,5.83,5.81,5.81,5.82,5.83,5.80,5.80,5.79,5.78,5.76,5.74,5.72,5.70,5.68,5.65,5.62
WG,Business,2G2_Particle_accelerators,0.34,11.10,0.34,0.36,0.36,0.37,0.38,0.38,0.38,0.39,0.21,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.24
WG,Business,2G2e_Electronics_and_shoes,5.19,10.46,5.19,20.30,23.90,27.30,17.64,12.15,12.92,16.76,21.63,14.47,11.93,10.73,8.67,7.34,6.65,6.87,7.06,7.49,8.16
WG,Business,2G2e_Tracer_gas,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,1.00,1.17,0.24,0.23,0.02
WG,Business,2G3a_Medical aplications,25.98,25.98,26.23,26.33,26.34,26.39,26.42,26.54,26.67,26.85,26.96,27.11,27.29,27.47,27.59,27.69,27.82,27.91,27.99,28.07,28.14
WG,Business,5C2.2b_Non-biogenic:Other,0.83,0.83,0.77,0.51,0.58,0.50,0.57,0.60,0.70,0.54,0.50,0.53,0.50,0.45,0.34,0.18,0.18,0.17,0.14,0.14,0.14
WG,Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,47.55,47.55,57.91,40.14,45.99,39.91,58.86,57.80,58.44,59.00,55.46,49.98,49.69,37.16,34.60,38.90,32.77,29.40,26.37,21.30,21.31
WG,Agriculture,1A4cii_Agriculture/Forestry/Fishing:Off-road,622.98,622.98,622.98,624.29,611.95,593.99,583.81,581.91,577.27,554.26,554.05,526.81,500.71,488.34,499.31,502.81,509.21,524.63,518.37,509.87,519.62
WG,Agriculture,2D1_Lubricant_Use,1.14,1.14,1.44,0.89,0.89,0.68,0.65,0.69,1.04,1.01,0.29,0.32,0.30,0.13,0.14,0.22,0.18,0.09,0.10,0.10,0.03
WG,Agriculture,3A1_Enteric_Fermentation_dairy_cattle,1104.53,1104.53,1058.01,1038.64,1061.41,1019.01,1043.66,1016.85,1033.96,1064.47,1059.73,1131.55,955.91,941.52,931.41,953.06,970.43,972.27,974.44,1040.85,1079.08
WG,Agriculture,3A1_Enteric_Fermentation_non-dairy_cattle,1366.18,1366.18,1380.21,1399.06,1406.95,1366.40,1346.66,1268.89,1386.38,1393.68,1352.23,1434.34,1285.07,1246.74,1228.11,1230.22,1214.48,1195.24,1151.07,1130.45,1137.94
WG,Agriculture,3A2_Enteric_Fermentation_sheep,1386.77,1386.77,1445.25,1479.19,1525.34,1451.16,1302.43,1316.71,1288.47,1272.10,1225.63,1215.06,1167.93,1091.04,1047.19,1063.84,1084.41,1108.12,1163.51,1244.14,1225.61
WG,Agriculture,3A3_Enteric_Fermentation_swine,3.78,3.78,3.40,3.49,3.06,2.55,1.52,1.66,1.82,1.15,1.06,0.94,0.89,0.78,0.84,1.01,0.97,1.07,0.93,1.06,0.95
WG,Agriculture,3A4_Enteric_Fermentation_other:deer,0.64,0.64,0.89,0.47,0.40,0.48,0.37,0.54,0.45,0.72,0.70,0.52,0.44,0.35,0.38,0.44,0.44,0.50,0.50,0.51,0.50
WG,Agriculture,3A4_Enteric_Fermentation_other:goats,1.53,1.53,1.05,0.93,0.98,0.82,0.71,0.86,0.76,0.69,0.83,1.01,1.08,0.90,0.85,0.93,1.01,0.87,1.31,1.34,1.27
WG,Agriculture,3A4_Enteric_Fermentation_other:horses,24.75,24.75,29.70,43.20,43.46,43.71,43.97,44.23,44.49,44.74,45.00,44.89,44.78,44.68,44.57,44.46,44.06,43.67,43.27,42.88,42.48
WG,Agriculture,3B1_Manure_Management_dairy_cattle,220.10,220.10,208.36,202.92,207.10,198.51,203.03,197.78,200.67,206.07,204.68,217.84,183.36,180.45,179.31,183.10,186.24,186.62,187.19,200.07,208.18
WG,Agriculture,3B1_Manure_Management_non-dairy_cattle,259.10,259.10,258.21,258.04,258.13,250.14,245.02,229.90,251.49,252.26,242.12,256.39,232.85,226.38,222.12,222.12,219.21,216.36,208.15,204.67,206.57
WG,Agriculture,3B2_Manure_Management_sheep,65.56,65.56,68.36,69.94,72.14,68.63,61.63,62.30,60.97,60.19,57.96,57.48,55.25,51.58,49.50,50.31,51.23,52.33,54.93,58.81,57.95
WG,Agriculture,3B3_Manure_Management_swine,17.17,17.17,15.52,15.90,13.74,11.36,6.51,7.40,8.05,5.13,4.68,4.05,3.81,3.36,3.51,4.22,4.04,4.56,3.97,4.53,3.99
WG,Agriculture,3B4_Manure_Management_other:deer,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
WG,Agriculture,3B4_Manure_Management_other:goats,0.19,0.19,0.13,0.12,0.12,0.10,0.09,0.11,0.10,0.09,0.10,0.13,0.13,0.11,0.11,0.12,0.13,0.11,0.16,0.17,0.16
WG,Agriculture,3B4_Manure_Management_other:horses,2.15,2.15,2.58,3.75,3.77,3.80,3.82,3.84,3.86,3.88,3.91,3.90,3.89,3.88,3.87,3.86,3.83,3.79,3.76,3.72,3.69
WG,Agriculture,3B4_Manure_Management_other:poultry,5.54,5.54,5.20,8.11,8.76,8.06,8.47,4.75,7.97,6.60,5.83,4.86,6.96,4.84,4.77,4.94,5.48,5.76,6.11,6.28,6.21
WG,Agriculture,3B4_Other,32.65,32.65,31.57,33.08,33.80,32.07,32.01,29.40,32.07,31.65,30.84,31.61,28.70,26.73,26.26,26.78,27.11,27.13,27.32,28.36,28.91
WG,Agriculture,3D_Agricultural_Soils,1554.42,1554.42,1561.70,1517.85,1532.56,1428.04,1377.92,1303.88,1329.60,1290.88,1257.65,1269.79,1157.88,1075.49,1102.97,1166.51,1161.01,1167.35,1165.03,1216.97,1208.21
WG,Agriculture,3D1_Agricultural_soils-Mineralization/Immobilization,11.25,11.25,12.90,13.32,13.59,15.79,18.16,20.09,22.20,23.98,25.72,27.53,29.01,30.46,32.01,32.41,32.82,32.92,33.26,33.36,33.66
WG,Agriculture,3F_Field_burning,1.99,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WG,Agriculture,3G1_Liming - limestone,69.99,69.99,81.44,64.45,52.15,35.92,41.27,34.85,45.49,44.84,44.71,43.43,32.31,39.96,51.70,52.95,52.91,30.95,38.20,37.07,35.05
WG,Agriculture,3G2_Liming - dolomite,47.21,47.21,51.50,39.40,28.86,21.44,21.27,18.93,23.06,21.77,23.90,21.52,16.10,19.55,21.83,21.74,29.07,13.05,21.13,18.22,17.23
WG,Agriculture,3H_Urea application,11.53,11.53,8.71,4.29,10.66,5.60,7.93,8.32,6.51,6.78,7.84,5.87,9.01,5.60,9.27,11.92,11.63,10.90,8.95,11.75,13.03
WM,Industrial Process,2A1_Cement_Production,576.33,576.33,464.11,494.13,471.93,500.20,465.85,472.95,490.88,501.10,413.51,567.40,590.96,494.61,348.05,293.68,364.93,451.91,500.80,589.35,586.01
WM,Industrial Process,2A2_Lime_Production,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WM,Industrial Process,2A3_Glass_production,7.18,7.18,6.65,34.89,33.11,33.08,36.98,36.36,30.57,30.16,12.28,11.53,8.66,9.09,10.80,10.29,10.85,7.95,7.31,7.39,7.15
WM,Industrial Process,2A4a_Other_process_uses_of_carbonates:ceramics,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WM,Industrial Process,2B1_Ammonia_Production,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WM,Industrial Process,2B10_Chemical_Industry:Other,9.04,9.04,11.10,7.84,2.87,4.03,3.10,3.44,3.97,3.17,1.24,0.88,1.15,0.95,0.99,0.60,0.91,0.49,0.56,0.57,0.45
WM,Industrial Process,2B2_Nitric_Acid_Production,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
